rowid,school_name,shool_code
386,北京市鼎石学校,1101130040023411000203345
387,北京国际标准舞研修学院,1101130042019211060036368
388,北京市顺义区君诚学校,1101130042023411000271345
389,北京市东城区工读学校,1101130042023711000005368
390,北京市新英才学校,1101130042093411000288345
391,北京市音乐舞蹈学校,1101130042143611000091365
392,北京市顺义区杨镇第一中学,1101130062033411000272342
393,北京市顺义区新大方职业学校,1101130062353611000025365
394,北京市顺义牛栏山第一中学,1101130072173411000270342
395,北京市顺义区第九中学,1101130100133411000275342
396,北京市海嘉双语学校,1101130112073411000120345
397,北京市牛栏山一中实验学校,1101130122063411000280345
398,北京市顺义区第一职业学校(附设普通高中班),1101130130053611000093349
399,北京市顺义区第一职业学校(职业高中学校),1101130130053611000093365
400,北京市顺义区第二中学,1101130130063411000273341
401,北京市顺义区水木年华艺术学校,1101131092343611000094365
402,北京市昌平区第二中学,1101140010033411000003341
403,北京市昌平区第一中学,1101140010043411000002341
404,北京市昌平区第三中学,1101140010083411000004341
405,北京市昌平实验中学,1101140010143411000005345
406,北京市昌平区前锋学校,1101140010153411000006345
407,北京市昌平卫生学校,1101140010153611000132362
408,北京市昌平区南口学校,1101140020043411000007345
409,北京市昌平区南口铁道北中学,1101140020163411000008341
410,北京铁路电气化学校,1101140020163611000103362
411,北京市第十五中学南口学校,1101140022033411000088341
412,北京师范大学昌平附属学校,1101140040063411000112345
413,北京市昌平区沙河中学,1101140042053411000009341
414,北京市昌平职业学校(附设普通高中班),1101140042143611000001349
415,北京市昌平职业学校(职业高中学校),1101140042143611000001365
416,北京市私立汇佳学校,1101140050033411000287345
417,北京市昌平区第二中学分校,1101140052063411000291341
418,首都师范大学附属回龙观育新学校,1101140060323411000026345
419,北京少林武术学校,1101140060423611000130365
420,中央民族大学附属中学昌平学校,1101140080083411000181341
421,北京市天通苑中山实验学校,1101140090113411000303345
422,北京昌平临川育人学校,1101141040013411000104341
423,北京昌平新东方外国语学校,1101141042023411000307341
424,北京市昌平区小汤山中学,1101141102013411000010341
425,北京市九华旅游职业学校,1101141102073611000092365
426,北京昌平敬华实验学校,1101141122063411000200345
427,北京师范大学第二附属中学未来科技城学校,1101141152043411000105341
428,首都师范大学附属中学昌平学校,1101141152073411000097341
429,北京市商业学校,1101141152073611000104362
430,北京王府外国语学校,1101141152093411000309345
431,北京王府学校,1101141152093411000310342
432,北京中科青云实验学校,1101141162103411000059345
433,北京龙门育才学校,1101141458626908786999
434,精华学校沙河校区,1101141458827849396999
435,北京昌平凯博外国语学校,1101141547434841980999
436,北京师范大学亚太实验学校,1101141552281905453999
437,工艺美术高级技工学校,1101141553566506419999
438,北京市大兴区第三中学,1101150010043411000304341
439,北京市大兴区第一中学,1101150020183411000294341
440,北京市大兴区第五中学,1101150020203411000295341
441,北京交通运输职业学院,1101150030034111014279368
442,北京市大兴区第八中学,1101150030063411000296341
443,首都师范大学附属中学大兴北校区,1101150030103411000044345
444,北京市私立君谊中学,1101150030123411000293341
445,北京师范大学大兴附属中学,1101150030153411000297341
446,北京市大兴区兴华中学,1101150030243411000298345
447,北京市爱莲舞蹈学校,1101150052223611000099365
448,北京市第三体育运动学校,1101150052263611000106362
449,北京市大兴区第一职业学校,1101150052333611000096365
450,北京市大兴区旧宫中学,1101150060173411000301341
451,北京市国际舞蹈艺术学校,1101150062003611000097365
452,北京商贸学校,1101150072033611000108362
453,北京市供销学校,1101150072033611000109362
454,首都师范大学大兴附属中学,1101150100013411000302341
455,北京现代艺术学校,1101151032313611000100365
456,北京市大兴区采育中学,1101151042153411000306341
457,北京市大兴区榆垡中学,1101151072193411000300341
458,中国网球学校,1101151082113611000110365
459,北京市大兴区第二职业学校,1101151092083611000101365
460,北京市大兴区魏善庄中学,1101151102113411000308341
461,大兴区第七中学,1101151515378677423999
462,礼贤民族中学,1101151523264883224999
463,北京经济技术开发区实验学校,1101154034983411000259345
464,北京市阳光情学校,1101154034983411000285342
465,人大附中北京经济技术开发区学校,1101154034983411000328345
466,北京市国际艺术学校,1101154034983611000140362
467,首都师范大学附属红螺寺中学,1101160010133411000030342
468,北京京北职业技术学院,1101160010134111011090368
469,北京市怀柔区第一中学,1101160020103411000028342
470,北京市怀柔区第二中学,1101160020133411000029342
471,北京市第一0一中学怀柔分校,1101160040013411000118341
472,北京市怀柔区职业学校(附设普通高中班),1101160040013611000006349
473,北京市怀柔区职业学校(职业高中学校),1101160040013611000006365
474,北京市世纪学校,1101161030013411000058342
475,北京百汇演艺学校,1101161030013611000007365
476,育才复读学校,1101161551849192437999
477,北京市平谷中学,1101170010113411000233341
478,北京市平谷区第六中学,1101170010113411000279341
479,北京市平谷区第五中学,1101170020083411000277341
480,北京市平谷区育才中学,1101170032003411000234342
481,北京师范大学附属中学平谷第一分校,1101170052143411000034341
482,北京市平谷区第一职业学校(附设普通高中班),1101171012003611000081349
483,北京市平谷区第一职业学校(职业高中学校),1101171012003611000081365
484,精英未来学校,1101171552613690217999
485,北京师范大学密云实验中学,1102280010023411000057342
486,密云县第二中学,1102280010043411000041342
487,首都师范大学附属密云中学,1102280020033411000056342
488,密云县职业学校(附设普通高中班),1102280020083611000005349
489,密云县职业学校(职业高中学校),1102280020083611000005365
490,密云县巨各庄中学,1102281052213411000054341
491,密云县太师庄中学,1102281072123411000055341
492,北京市密云区新农村中学,1102281522032502134999
493,延庆县第五中学,1102290010013411000039342
494,延庆县第一职业学校,1102290010013611000004365
495,延庆县第二中学,1102290010033411000035341
496,延庆县第三中学,1102290020103411000031341
497,延庆县第一中学,1102290030033411000038342
498,延庆四中,1102291552032212003999
499,天津市汇文中学,1201010010063412000108341
500,天津市建华中学,1201010010073412000086341
501,天津市兴南中学,1201010010143412000089341
502,天津市双菱中学,1201010020023412000128341
503,天津市耀华嘉诚国际中学,1201010020043412000115341
504,天津市耀华中学,1201010020043412000123341
505,天津市第一中学,1201010030053412000082341
506,天津益中学校,1201010030053412000136341
507,天津市第二十中学,1201010030153412000127341
508,天津市和平艺术中学,1201010040043412000139341
509,天津市第二十一中学,1201010040093412000111341
510,天津市第五十五中学,1201010050123412000095341
511,天津市第二南开中学,1201010060023412000088341
512,天津市和平区职工中等专业学校,1201010060203612000042364
513,天津市中华职业中等专业学校,1201010060203612000050365
514,天津市一中网校,1201011522465652220999
515,京瀚学校,1201011553829548926999
516,天津音乐学院附属中等音乐学校,1201020010183612000057362
517,天津市第五十四中学,1201020010193412000217341
518,天津市第八十二中学,1201020020013412000219341
519,天津市立达职业中等专业学校,1201020020013612000121365
520,天津市河东区职工中等专业学校,1201020020053612000120364
521,天津市轻工中等职业学校,1201020020083612000119365
522,天津市市政工程学校,1201020020093612000056362
523,天津市第九十八中学,1201020030133412000221341
524,天津市华英中学,1201020030133412000223341
525,天津市园林学校,1201020030213612000053362
526,天津市第四十五中学,1201020030233412000215341
527,天津艺术职业学院,1201020040104112012882368
528,天津求实科工贸成人中等专业学校,1201020050103612000052364
529,天津市第一商业学校,1201020050163612000055362
530,天津市万盛高级中学,1201020060123412000081342
531,天津市财经职业中等专业学校(附设普通高中班),1201020060123612000122349
532,天津市财经职业中等专业学校(职业高中学校),1201020060123612000122365
533,天津市第三十二中学,1201020060203412000218341
534,天津市育才中学,1201020070033412000222341
535,天津市第七中学,1201020070043412000214341
536,天津市第一0二中学,1201020080063412000216341
537,天津市育杰高级中学,1201020100013412000224342
538,天津市河东区东局子中学,1201020100013412000225342
539,天津市劳动保护学校,1201020110173612000054362
540,天津市第八中学,1201020120063412000220341
541,天铁集团第二中学,1201020130023412000075342
542,天铁集团中等专业学校,1201020130023612000051362
543,天津市新华中学,1201030010043412000171341
544,天津市纺织工业学校,1201030020013612000058362
545,天津市海河中学,1201030020033412000165341
546,天津市津海中学,1201030020103412000173342
547,天津市第四十一中学,1201030030133412000166341
548,天津市华宁中学,1201030030143412000176342
549,天津市第四十二中学,1201030040083412000164341
550,天津市第四中学,1201030040173412000169341
551,天津市实验中学,1201030050073412000172341
552,天津市津沽实验中学,1201030050073412000177342
553,天津市精治中学,1201030060173412000174342
554,天津市卓群高级中学,1201030060173412000179342
555,天津旅游外事职业学校,1201030060173612000099365
556,天津市电子计算机职业中等专业学校,1201030060213612000095365
557,天津市自立中学,1201030070093412000175341
558,天津市农业广播电视学校,1201030070093612000063364
559,天津市体育运动学校,1201030080233612000059362
560,天津市培杰中学,1201030090173412000170341
561,天津市实验华冠学校,1201030090313412000178341
562,天津市翔宇科技贸易中等职业学校,1201030090313612000007365
563,天津市国际商务学校,1201030090313612000098365
564,天津商务职业学院,1201030090314112012788368
565,北京师范大学天津附属中学,1201030110013412000167341
566,天津市航运职工中等专业学校,1201030110113612000065364
567,天津市统计职业中等专业学校,1201030110163612000094365
568,天津市残疾人职业学校,1201030120113612000097365
569,天津市微山路中学,1201030120233412000168341
570,天津市梅江中学,1201030130033412000163341
571,天津市建筑工程学校,1201030130073612000061362
572,天津渤海职业技术学院,1201030130084112012719368
573,天津师中师教育信息咨询有限公司,1201031491182622270999
574,天津体育学院附属中专部,1201031516088103088999
575,北京四中网校天津分校,1201031522118794692999
576,众点培训学校,1201031552553507879999
577,天津市第四十三中学,1201040010053412000039341
578,天津市慧翔职业中等专业学校,1201040010153612000014365
579,天津市南开区外国语中学,1201040010193412000049341
580,天津市南开外国语高级中学,1201040010193412000076342
581,天津市崇化中学,1201040020023412000035341
582,天津市育红中学,1201040030153412000037341
