rowid,name
738,黑龙江外国语学院
739,黑龙江财经学院
740,哈尔滨石油学院
741,黑龙江工商学院
742,哈尔滨远东理工学院
743,哈尔滨剑桥学院
744,黑龙江工程学院昆仑旅游学院
745,哈尔滨广厦学院
746,哈尔滨华德学院
747,黑河学院
748,哈尔滨音乐学院
749,齐齐哈尔高等师范专科学校
750,伊春职业学院
751,牡丹江大学
752,黑龙江职业学院
753,黑龙江建筑职业技术学院
754,黑龙江艺术职业学院
755,大庆职业学院
756,黑龙江林业职业技术学院
757,黑龙江农业职业技术学院
758,黑龙江农业工程职业学院
759,黑龙江农垦职业学院
760,黑龙江司法警官职业学院
761,鹤岗师范高等专科学校
762,哈尔滨电力职业技术学院
763,哈尔滨铁道职业技术学院
764,大兴安岭职业学院
765,黑龙江农业经济职业学院
766,哈尔滨职业技术学院
767,哈尔滨传媒职业学院
768,黑龙江生物科技职业学院
769,黑龙江商业职业学院
770,黑龙江公安警官职业学院
771,黑龙江信息技术职业学院
772,哈尔滨城市职业学院
773,黑龙江农垦科技职业学院
774,黑龙江旅游职业技术学院
775,黑龙江三江美术职业学院
776,黑龙江生态工程职业学院
777,黑龙江能源职业学院
778,七台河职业学院
779,黑龙江民族职业学院
780,大庆医学高等专科学校
781,黑龙江交通职业技术学院
782,哈尔滨应用职业技术学院
783,黑龙江幼儿师范高等专科学校
784,哈尔滨科学技术职业学院
785,佳木斯职业学院
786,黑龙江护理高等专科学校
787,齐齐哈尔理工职业学院
788,哈尔滨幼儿师范高等专科学校
789,黑龙江冰雪体育职业学院
790,南京大学
791,苏州大学
792,东南大学
793,南京航空航天大学
794,南京理工大学
795,江苏科技大学
796,中国矿业大学
797,南京工业大学
798,常州大学
799,南京邮电大学
800,河海大学
801,江南大学
802,南京林业大学
803,江苏大学
804,南京信息工程大学
805,南通大学
806,盐城工学院
807,南京农业大学
808,南京医科大学
809,徐州医科大学
810,南京中医药大学
811,中国药科大学
812,南京师范大学
813,江苏师范大学
814,淮阴师范学院
815,盐城师范学院
816,南京财经大学
817,江苏警官学院
818,南京体育学院
819,南京艺术学院
820,苏州科技大学
821,常熟理工学院
822,淮阴工学院
823,常州工学院
824,扬州大学
825,三江学院
826,南京工程学院
827,南京审计大学
828,南京晓庄学院
829,江苏理工学院
830,淮海工学院
831,徐州工程学院
832,南京特殊教育师范学院
833,南通理工学院
834,南京森林警察学院
835,东南大学成贤学院
836,泰州学院
837,无锡太湖学院
838,金陵科技学院
839,中国矿业大学徐海学院
840,南京大学金陵学院
841,南京理工大学紫金学院
842,南京航空航天大学金城学院
843,中国传媒大学南广学院
844,南京理工大学泰州科技学院
845,南京师范大学泰州学院
846,南京工业大学浦江学院
847,南京师范大学中北学院
848,南京医科大学康达学院
849,南京中医药大学翰林学院
850,南京信息工程大学滨江学院
851,苏州大学文正学院
852,苏州大学应用技术学院
853,苏州科技大学天平学院
854,江苏大学京江学院
855,扬州大学广陵学院
856,江苏师范大学科文学院
857,南京邮电大学通达学院
858,南京财经大学红山学院
859,江苏科技大学苏州理工学院
860,常州大学怀德学院
861,南通大学杏林学院
862,南京审计大学金审学院
863,宿迁学院
864,江苏第二师范学院
865,西交利物浦大学
866,昆山杜克大学
867,盐城幼儿师范高等专科学校
868,苏州幼儿师范高等专科学校
869,明达职业技术学院
870,无锡职业技术学院
871,江苏建筑职业技术学院
872,南京工业职业技术学院
873,江苏工程职业技术学院
874,苏州工艺美术职业技术学院
875,连云港职业技术学院
876,镇江市高等专科学校
877,南通职业大学
878,苏州职业大学
879,沙洲职业工学院
880,扬州市职业大学
881,连云港师范高等专科学校
882,江苏经贸职业技术学院
883,九州职业技术学院
884,硅湖职业技术学院
885,泰州职业技术学院
886,常州信息职业技术学院
887,江苏联合职业技术学院
888,江苏海事职业技术学院
889,应天职业技术学院
890,无锡科技职业学院
891,江苏医药职业学院
892,扬州环境资源职业技术学院
893,南通科技职业学院
894,苏州经贸职业技术学院
895,苏州工业职业技术学院
896,苏州托普信息职业技术学院
897,苏州卫生职业技术学院
898,无锡商业职业技术学院
899,南通航运职业技术学院
900,南京交通职业技术学院
901,淮安信息职业技术学院
902,江苏农牧科技职业学院
903,常州纺织服装职业技术学院
904,苏州农业职业技术学院
905,苏州工业园区职业技术学院
906,太湖创意职业技术学院
907,炎黄职业技术学院
908,南京科技职业学院
909,正德职业技术学院
910,钟山职业技术学院
911,无锡南洋职业技术学院
912,江南影视艺术职业学院
913,金肯职业技术学院
914,常州轻工职业技术学院
915,常州工程职业技术学院
916,江苏农林职业技术学院
917,江苏食品药品职业技术学院
918,建东职业技术学院
919,南京铁道职业技术学院
920,徐州工业职业技术学院
921,江苏信息职业技术学院
922,宿迁职业技术学院
923,南京信息职业技术学院
924,江海职业技术学院
925,常州机电职业技术学院
926,江阴职业技术学院
927,无锡城市职业技术学院
928,无锡工艺职业技术学院
929,金山职业技术学院
930,苏州健雄职业技术学院
931,盐城工业职业技术学院
932,江苏财经职业技术学院
933,扬州工业职业技术学院
934,苏州百年职业学院
935,昆山登云科技职业学院
936,南京视觉艺术职业学院
937,江苏城市职业学院
938,南京城市职业学院
939,南京机电职业技术学院
940,苏州高博软件技术职业学院
941,南京旅游职业学院
942,江苏卫生健康职业学院
943,苏州信息职业技术学院
944,宿迁泽达职业技术学院
945,苏州工业园区服务外包职业学院
946,徐州幼儿师范高等专科学校
947,徐州生物工程职业技术学院
948,江苏商贸职业学院
949,南通师范高等专科学校
950,扬州中瑞酒店职业学院
951,江苏护理职业学院
952,江苏财会职业学院
953,江苏城乡建设职业学院
954,江苏航空职业技术学院
955,江苏安全技术职业学院
956,江苏旅游职业学院
957,浙江大学
958,杭州电子科技大学
959,浙江工业大学
960,浙江理工大学
961,浙江海洋大学
962,浙江农林大学
963,温州医科大学
964,浙江中医药大学
965,浙江师范大学
966,杭州师范大学
967,湖州师范学院
968,绍兴文理学院
969,台州学院
970,温州大学
971,丽水学院
972,浙江工商大学
973,嘉兴学院
974,中国美术学院
975,中国计量大学
976,公安海警学院
977,浙江万里学院
978,浙江科技学院
979,宁波工程学院
980,浙江水利水电学院
981,浙江财经大学
982,浙江警察学院
983,衢州学院
984,宁波大学
985,浙江传媒学院
986,浙江树人学院
987,浙江越秀外国语学院
988,宁波大红鹰学院
989,浙江大学城市学院
990,浙江大学宁波理工学院
991,杭州医学院
992,浙江工业大学之江学院
993,浙江师范大学行知学院
994,宁波大学科学技术学院
995,杭州电子科技大学信息工程学院
996,浙江理工大学科技与艺术学院
997,浙江海洋大学东海科学技术学院
998,浙江农林大学暨阳学院
999,温州医科大学仁济学院
1000,浙江中医药大学滨江学院
1001,杭州师范大学钱江学院
1002,湖州师范学院求真学院
1003,绍兴文理学院元培学院
1004,温州大学瓯江学院
1005,浙江工商大学杭州商学院
1006,嘉兴学院南湖学院
